appid,name,developer_id,developer_name,rate,rate_num,supplier,size,genre,compatibility,language,age,copyright,price
1583886883,异星指令,1341619086,ChillyRoom,4.2,"5,383",ChillyRoom Inc.,459.5 MB,游戏,iPhone设备需装有iOS12.0或更高版本。iPad设备需装有iPadOS12.0或更高版本。iPod touch设备需装有iOS12.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,俄文， 德文， 日文， 法文， 简体中文， 繁体中文， 英文， 葡萄牙文， 西班牙文， 越南文， 韩文,12+，频繁/强烈的卡通或幻想暴力，偶尔/轻微的惊悚或恐怖题材,免费,"购买游戏
¥30.00"
994796154,斑马邦体育-足篮棒球全项目赛事运营平台,994796153,"Shanghai Heyuhe Mdt Information Technology Co., Ltd.",4.4,"1,090","Shanghai Heyuhe Mdt Information Technology Co., Ltd.",147.1 MB,体育,iPhone设备需装有iOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文,4+,© 2015 Banmabang Inc.,免费
410542351,"Love Messages, Birthday Wishes",535095242,Touchzing Media,4.7,63,Touchzing Media Pvt. Ltd.,201.5 MB,娱乐,iPhone设备需装有iOS11.0或更高版本。iPad设备需装有iPadOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,丹麦文， 俄文， 博克马尔文挪威文， 印地文， 印度尼西亚文， 土耳其文， 希腊文， 德文， 意大利文， 法文， 泰文， 瑞典文， 芬兰文， 英文， 荷兰文， 葡萄牙文， 西班牙文， 越南文， 韩文， 马来文,4+,免费,"Unlock Ad-Free Version
¥22.00"
1492844567,海康WiFi,358934279,"Hikvision Digital Technology Co.,Ltd",2.1,54,"Hikvision Digital Technology Co.,Ltd",69.6 MB,商务,iPhone设备需装有iOS11.0或更高版本。iPad设备需装有iPadOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,英文,4+,"© Hangzhou hikvision digital technology Co., Ltd",免费
1397406775,Python3 IDE 清新版,1393788452,Na Chen,4.6,818,Na Chen,95 MB,软件开发工具,iPhone设备需装有iOS9.0或更高版本。iPad设备需装有iPadOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 英文,17+，无限制网页访问,免费,"购买全部
¥22.00"
1563881313,悦东风,909596687,掌上东风,2.7,117,"Hubei dongfeng newspaper media co., LTD",61.6 MB,健康健美,iPhone设备需装有iOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文,4+,© 湖北东风报业传媒有限公司,免费
987050294,实名宝,939982066,"Hebei Lanke Network Engineering Group Co.,Ltd.",1.9,"1,784","Hebei Lanke Network Engineering Group  Co.,Ltd.",117.7 MB,工具,iPhone设备需装有iOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。,简体中文,17+，无限制网页访问,"© Hebei Lanke Network Engineering Group  Co.,Ltd.",免费
1643418417,云短信助手--在线接收短信验证码,1643408198,蜀贤 王,2.3,3,蜀贤 王,38.1 MB,工具,iPhone设备需装有iOS9.0或更高版本。iPad设备需装有iPadOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,德文， 意大利文， 日文， 简体中文， 繁体中文， 英文， 阿拉伯文,4+,© Cloud Stack Inc.,免费
993104567,体坛+足球篮球体育新闻资讯,1078821158,Titan Plus Inc.,4.2,209,Titan Plus Inc.,74.8 MB,体育,iPhone设备需装有iOS9.0或更高版本。iPad设备需装有iPadOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,英文,17+，频繁/强烈的模拟赌博，偶尔/轻微的卡通或幻想暴力，偶尔/轻微的现实暴力，赌博，频繁/强烈的竞赛,免费,"6T币
¥6.00


12T币
¥12.00


50T币
¥50.00


包年会员
¥123.00


包月会员
¥18.00


128T币
¥128.00


268T币
¥268.00


648T币
¥648.00"
6449141442,骑战：烈火之剑,1071039583,zhipeng miao,3.2,71,zhipeng miao,534.7 MB,娱乐,iPhone设备需装有iOS11.0或更高版本。iPad设备需装有iPadOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,加泰罗尼亚文， 德文， 日文， 法文， 简体中文， 英文， 西班牙文， 韩文,9+，偶尔/轻微的卡通或幻想暴力,© 上海汪汪狗信息技术有限公司,免费
1529087124,7881助手-卖家管理工具,1528126425,继德 黄,2.5,"1,200",继德 黄,85.3 MB,工具,iPhone设备需装有iOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。,简体中文， 英文,12+，偶尔/轻微的现实暴力，偶尔/轻微的卡通或幻想暴力,© @7881助手,免费
1633597387,白鲸加速器 - VPN网络加速,1633597389,ZXMQ Network Ltd.,4.2,"3,850",ZXMQ Network Ltd.,28.1 MB,效率,iPhone设备需装有iOS12.0或更高版本。iPad设备需装有iPadOS12.0或更高版本。iPod touch设备需装有iOS12.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,英文,4+,免费,"1个月VIP会员
¥35.00


3个月VIP会员
¥98.00


1年VIP会员
¥198.00"
1580527983,TV Brasil - TV Ao Vivo,1515493684,Limex Broadcast,-1,0,V.S. Limex Broadcast Systems Ltd,41.7 MB,娱乐,iPhone设备需装有iOS12.0或更高版本。iPad设备需装有iPadOS12.0或更高版本。iPod touch设备需装有iOS12.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,葡萄牙文,12+，偶尔/轻微的色情内容或裸露,© Limex Broadcast Systems LTD,免费
1468244329,人狗翻译器-狗狗交流器,1675011204,杭州禾兑网络科技有限公司,3.4,497,"Hangzhou Hedui Network Technology Co., LTD",78.8 MB,娱乐,iPhone设备需装有iOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文,4+,免费,"连续包月
¥8.00


连续包月
¥38.00


连续月卡充值
¥12.00


月卡充值
¥22.00


连续包季
¥18.00


连续包年
¥30.00


连续包年
¥168.00


连续包季
¥88.00


季卡充值
¥38.00


年卡充值
¥58.00"
1298984261,物理实验室 AR,1568741108,Turtle Sim LLC,4.8,11.6万,Turtle Sim LLC,187.5 MB,教育,iPhone设备需装有iOS12.0或更高版本。iPad设备需装有iPadOS12.0或更高版本。iPod touch设备需装有iOS12.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,德文， 日文， 法文， 简体中文， 繁体中文， 英文,4+,免费,"元件订阅（月付）
¥6.00


60 钻石
¥8.00


120 钻石
¥15.00


10 钻石
¥8.00


300 钻石
¥38.00


1280 钻石
¥148.00


680 钻石
¥68.00"
389793068,iMoney · 全球汇率转换 - 实时汇率换算,364264742,iDaily Corp.,4.9,2.8万,iDaily Corp.,134.3 MB,效率,iPhone设备需装有iOS11.0或更高版本。iPad设备需装有iPadOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,日文， 简体中文， 繁体中文， 英文,4+,免费,"Premium Feature
¥15.00


咖啡
¥22.00


金币
¥98.00


银币
¥38.00


给所有人买咖啡
¥198.00"
445375097,爱奇艺随刻-让妈妈放心的短视频,888236375,iQiYi,4.7,34.5万,"Beijing IQIYI Science & Technology Co., Ltd.",294.9 MB,娱乐,iPhone设备需装有iOS11.0或更高版本。iPad设备需装有iPadOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 繁体中文， 英文,17+，频繁/强烈的成人或性暗示题材,免费,"连续包月
¥25.00


1个月
¥30.00


6奇点
¥6.00


3个月
¥78.00


连续包月
¥25.00


连续包季
¥68.00


一个月
¥3.00


12个月
¥258.00


12奇点
¥12.00


连续包年
¥238.00"
906632439,虎扑-篮球足球游戏影视,906632442,"Shanghai Kuanghui Network Technology Co., LTD",3.9,7.5万,"Shanghai Kuanghui Network Technology Co., LTD",402.7 MB,体育,iPhone设备需装有iOS10.0或更高版本。iPad设备需装有iPadOS10.0或更高版本。iPod touch设备需装有iOS10.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文,9+，偶尔/轻微的成人或性暗示题材，偶尔/轻微的亵渎或低俗幽默,免费,"42虎扑币
¥6.00


126虎扑币
¥18.00


896虎扑币
¥128.00


210虎扑币
¥30.00


476虎扑币
¥68.00


3626虎扑币
¥518.00


连续包月
¥9.90


1800魅力值
¥18.00


3000魅力值
¥30.00


7虎扑币
¥1.00"
1537352309,打击垫-打碟机和电鼓电音乐器,1492418550,梦莹 张,4.8,1.5万,梦莹 张,78.2 MB,音乐,iPhone设备需装有iOS11.0或更高版本。iPad设备需装有iPadOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文,4+,免费,"电音制作 DrumPad
¥78.00"
1566529260,彩虹拼图—液态拼图，水排序解谜,1637074679,FUNPUZZLE,4.9,1万,"P-Dragon.Technology Co.,Ltd.",185.5 MB,生活,iPhone设备需装有iOS11或更高版本。iPad设备需装有iPadOS11或更高版本。iPod touch设备需装有iOS11或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,俄文， 德文， 日文， 法文， 简体中文， 英文， 葡萄牙文， 西班牙文， 韩文,12+，偶尔/轻微的现实暴力，偶尔/轻微的卡通或幻想暴力，偶尔/轻微的竞赛,© P-Dragon Ltd.,免费
1610537436,YeeTalk-结交外国朋友学外语练口语,1619768939,"Nanning Imback Technology Co., Ltd.",4.4,"2,847","Nanning Imback Technology Co., Ltd.",214 MB,教育,iPhone设备需装有iOS12.0或更高版本。iPod touch设备需装有iOS12.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,泰文， 简体中文， 英文， 越南文,12+，偶尔/轻微的惊悚或恐怖题材，偶尔/轻微的亵渎或低俗幽默，偶尔/轻微的卡通或幻想暴力，偶尔/轻微的成人或性暗示题材，偶尔/轻微的现实暴力,免费,"VIP尊享服务-连续包月
¥30.00


Y金币-70
¥6.00


Y金币-210
¥18.00


Y金币-560
¥50.00


Y金币-1050
¥98.00


100 Y币礼包
¥6.00


VIP尊享服务-连续包季
¥68.00


VIP尊享会员_1个月
¥45.00


Y金币-4200
¥388.00


Y金币-1680
¥158.00"
1112482869,ABC Kids - Tracing & Phonics,340181308,RV AppStudios LLC,4.9,350,RV AppStudios LLC,221.4 MB,教育,iPhone设备需装有iOS11.0或更高版本。iPad设备需装有iPadOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,乌克兰文， 俄文， 卡纳达文， 印地文， 印度尼西亚文， 古吉拉特文， 孟加拉文， 尼泊尔文， 德文， 意大利文， 旁遮普文， 法文， 波兰文， 罗马尼亚文， 芬兰文， 英文， 西班牙文， 越南文， 马拉地文， 马来文,4+（为，0–5，岁儿童设计）,© 2023 RV AppStudios,免费
6447282474,腕上RSS,1680078682,子博 庄,4.5,160,子博 庄,68.9 MB,报刊杂志,iPhone设备需装有iOS15.0或更高版本。iPad设备需装有iPadOS15.0或更高版本。iPod touch设备需装有iOS15.0或更高版本。Mac需要macOS 12.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文,17+，无限制网页访问,免费,"腕上RSS高级版
¥6.00"
1514718575,视频壁纸-高清视频动态壁纸,1509153243,厦门橙裂科技有限公司,4.2,33,"Xiamen Chenglie Technology Co., Ltd.",65.1 MB,图形和设计,iPhone设备需装有iOS10.0或更高版本。iPod touch设备需装有iOS10.0或更高版本。,简体中文， 英文,4+,"© 2020 Xiamen Chenglie Technology Co., Ltd.",免费
1495617872,悦掌柜,1550772804,Beijing Fog Core Technology Co.LTD,2.8,359,Beijing Fog Core Technology Co.LTD,120.3 MB,效率,iPhone设备需装有iOS9.2或更高版本。iPod touch设备需装有iOS9.2或更高版本。,英文,17+，偶尔/轻微的医药或医疗信息，频繁/强烈的烟酒或毒品使用或相关内容,© 深圳雾芯信息科技有限公司,免费
979579523,AIDA64,979579522,FinalWire,4.8,2.7万,FinalWire Korlatolt Felelossegu Tarsasag,13.2 MB,工具,iPhone设备需装有iOS12.0或更高版本。iPad设备需装有iPadOS12.0或更高版本。iPod touch设备需装有iOS12.0或更高版本。,英文,4+,免费,"Remove ads from AIDA64
¥15.00"
1397424959,CodeSnack IDE,1142567045,"Mobibean, LLC",3.9,21,"Mobibean, LLC",61.5 MB,软件开发工具,iPhone设备需装有iOS13.0或更高版本。iPad设备需装有iPadOS13.0或更高版本。iPod touch设备需装有iOS13.0或更高版本。,英文,4+,免费,"Pro (monthly)
¥35.00


Pro (annual, introductory)
¥193.00


Pro (annual)
¥318.00


Premium (6 months)
¥218.00


Pro (annual limited offer)
¥293.00


Pro
¥35.00


Premium (annual)
¥293.00"
1590306433,西游单机私服BT版-良心魔改西游记手游,1530773632,"Chengdu Rukou Network Technology Co., Ltd.",4.7,"2,067","Chengdu Rukou Network Technology Co., Ltd.",199.1 MB,体育,iPhone设备需装有iOS13.0或更高版本。iPad设备需装有iPadOS13.0或更高版本。iPod touch设备需装有iOS13.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 繁体中文， 英文,4+,免费,"60元宝
¥6.00


元宝礼包
¥1.00


元宝大礼包14
¥18.00


元宝大礼包64
¥98.00


元宝礼包
¥8.00


元宝大礼包28
¥25.00


300元宝
¥30.00


500元宝
¥50.00


1980元宝
¥198.00


新手特惠礼包25
¥8.00"
1564223247,趣刷短视频,1509153243,厦门橙裂科技有限公司,4.7,1.4万,"Xiamen Chenglie Technology Co., Ltd.",78.3 MB,摄影与录像,iPhone设备需装有iOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。,简体中文,4+,"© 2021 Xiamen Chenglie Technology Co., Ltd.",免费
6447493690,ChatGPAI Plus智能聊天 绘画 写作 学习 工作,1531594017,冉 刘,4.3,60,冉 刘,39.1 MB,工具,iPhone设备需装有iOS11.0或更高版本。iPad设备需装有iPadOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文,17+，偶尔/轻微的医药或医疗信息,免费,"210金币
¥3.00


支持我们，去除广告
¥12.00


70金币
¥1.00


1260金币
¥18.00


840金币
¥12.00


420金币
¥6.00


560金币
¥8.00"
466351433,地铁通 - MetroMan,1596627478,EXPANSE LLC,4.9,7.1万,EXPANSE LLC,72.7 MB,旅游,iPhone设备需装有iOS14.0或更高版本。iPad设备需装有iPadOS14.0或更高版本。iPod touch设备需装有iOS14.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,俄文， 德文， 意大利文， 日文， 法文， 简体中文， 繁体中文， 英文， 葡萄牙文， 西班牙文， 韩文,4+,免费,"包月
¥6.00


包年
¥35.00


包季
¥12.00"
439638720,腾讯手机管家-骚扰电话拦截和远程控制,292374531,Tencent Technology (Shenzhen) Company Limited,4.5,31.8万,Tencent Technology (Shenzhen) Company Limited,277.1 MB,工具,iPhone设备需装有iOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。,简体中文,4+,免费,"腾讯手机管家VIP会员（连续包月）
¥15.00


腾讯手机管家VIP会员（1个月）
¥18.00


腾讯手机管家VIP会员（连续包季）
¥40.00


腾讯手机管家VIP会员（连续包年）
¥148.00


智能接听助理VIP服务（1个月）
¥18.00


腾讯手机管家VIP会员（3个月）
¥50.00


腾讯手机管家VIP会员（1年）
¥178.00


腾讯手机管家VIP会员（1年|专属优惠1）
¥88.00


腾讯手机管家VIP会员（1个月|原价）
¥30.00


腾讯手机管家VIP会员（1年|专属优惠8）
¥128.00"
6443616558,小鲜木鱼-功德电子木鱼念经,1501299623,Shanghai Xiaoxian Network Technology Company Limited,4.8,1.1万,Shanghai Xiaoxian Network Technology Company Limited,115.1 MB,音乐,iPhone设备需装有iOS11.0或更高版本。iPad设备需装有iPadOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 英文,4+,免费,"ikun皮肤
¥1.00


新春木鱼 
¥8.00


布施1
¥1.00


圣诞木鱼
¥8.00


机甲木鱼
¥8.00


布施2
¥6.00


孔明灯
¥8.00


烟花炮
¥8.00


流星雨
¥8.00


布施3
¥12.00"
1493894094,票星球-明星演唱会官方票务平台,1493890562,"Shanghai Piaoyou Culture Technology Co., Ltd",1.9,269,"Shanghai Piaoyou Culture Technology Co., Ltd",97.8 MB,娱乐,iPhone设备需装有iOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。,简体中文,4+,© 上海票优文化科技有限公司,免费
1262785828,Drawing Desk- Art Lessons App,1262785827,Farida Afrose,4.5,500,Farida Afrose,162.9 MB,图形和设计,iPhone设备需装有iOS12.0或更高版本。iPad设备需装有iPadOS12.0或更高版本。iPod touch设备需装有iOS12.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,俄文， 印度尼西亚文， 土耳其文， 德文， 意大利文， 日文， 法文， 简体中文， 繁体中文， 英文， 荷兰文， 葡萄牙文， 西班牙文， 阿拉伯文,4+,免费,"Drawing Desk Weekly Offer
¥15.00


Drawing Desk Yearly Trial
¥168.00


Drawing Desk Premium Monthly
¥40.00


Unlock All Stickers
¥38.00


Hide Ads
¥68.00


Unlock Toy Stickers$0.99
¥8.00


Unlock Doll Stickers$0.99
¥8.00


Unlock Sports Stickers$0.99
¥8.00


Unlock Car & Bike Stickers$0.9
¥8.00


Unlock Hat & Helmet Stickers$0
¥8.00"
1233987336,薪人薪事-考勤招聘人事管理,1233987335,"Qijiayoudao Network Technology(Beijing)Co., Ltd.",3.4,940,"Qijiayoudao Network Technology(Beijing)Co., Ltd.",200.6 MB,商务,iPhone设备需装有iOS10.0或更高版本。iPod touch设备需装有iOS10.0或更高版本。,简体中文， 英文,17+，无限制网页访问,© 企家有道网络技术（北京）有限公司,免费
1600807112,艾多美艾购V2,1506709625,艾多美(中国)有限公司,3.9,96,ATOMY CHINA COMPANY LIMITED,56.8 MB,购物,iPhone设备需装有iOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。,英文,4+,"© ATOMY CO., LTD",免费
1528942537,上马,1528942539,上海东浩兰生赛事管理有限公司,3.9,167,"Shanghai Donghao Lansheng Event Management Co., Ltd",69.4 MB,体育,iPhone设备需装有iOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,日文， 法文， 简体中文， 英文,4+,© 2020 上海东浩兰生赛事管理有限公司,免费
6444198730,吉客有钱-大额贷款借钱平台,1509198043,广州市绿地吉客小额贷款有限责任公司,3.8,85,Guangzhou Greenland Jike Microfinance Co. Ltd.,35.2 MB,财务,iPhone设备需装有iOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文,4+,"© Nov,2022 Guangzhou Greenland Jike Microfinance Co. Ltd.",免费
1124059165,扫呗,960583357,武汉利楚商务服务有限公司,4.3,525,"Wuhan Lichu Business Services Co., Ltd.",361 MB,商务,iPhone设备需装有iOS13.0或更高版本。iPad设备需装有iPadOS13.0或更高版本。iPod touch设备需装有iOS13.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,英文,4+,© 武汉利楚商务服务有限公司,免费
1451457615,‎iArtbook - Digital Painting,498934210,Alexander Kondrashov,4.4,"4,404",Alexander Kondrashov,164.1 MB,图形和设计,iPhone设备需装有iOS12.3或更高版本。iPad设备需装有iPadOS12.3或更高版本。iPod touch设备需装有iOS12.3或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,俄文， 土耳其文， 德文， 法文， 简体中文， 英文， 西班牙文,4+,免费,"Upgrade to iArtbook Pro
¥38.00"
1624248084,算法宝-算法动画图解，代码执行可视,501130350,森 林,4.2,17,森 林,23.8 MB,软件开发工具,iPhone设备需装有iOS13.0或更高版本。iPad设备需装有iPadOS13.0或更高版本。iPod touch设备需装有iOS13.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 英文,4+,免费,"解锁所有难度算法动画图解
¥38.00


解锁简单难度算法动画图解
¥0.00


解锁中等和困难难度算法动画图解
¥28.00"
1089046205,阳光智园,1089046204,阳光智园科技有限公司,1.9,843,"YANGGUANGZHIYUAN TECHNOLOGY CO.,LTD",45.3 MB,购物,iPhone设备需装有iOS9.0或更高版本。iPad设备需装有iPadOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文,4+,© 阳光智园科技有限公司,免费
1542746926,LazyShare - 让你的创作 · 更Lazy,1526434962,"Shanghai Yijian Network Technology Co., Lt",3.6,678,"Shanghai Yijian Network Technology Co., Ltd",325.6 MB,图形和设计,iPhone设备需装有iOS11.0或更高版本。iPad设备需装有iPadOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。,简体中文， 英文,4+,免费,"60L币
¥6.00


180L币
¥18.00


10L币
¥1.00


480L币
¥45.00


980L币
¥98.00


1980L币
¥198.00"
1667275709,CloudTopBodybuild,1663659607,Bryan Wright,5.0,2,Bryan Wright,24.4 MB,工具,iPhone设备需装有iOS13.1或更高版本。iPod touch设备需装有iOS13.1或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,丹麦文， 克罗地亚文， 加泰罗尼亚文， 希腊文， 意大利文， 捷克文， 简体中文， 英文， 荷兰文， 阿拉伯文,4+,© @CloudTopBodybuild,免费
547166701,百度网盘,1546340138,"Beijing Duyou Science and Technology Co.,Ltd.",4.3,85.6万,"Beijing Duyou Science and Technology Co.,Ltd.",637.5 MB,效率,iPhone设备需装有iOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。,简体中文,12+，偶尔/轻微的成人或性暗示题材，偶尔/轻微的色情内容或裸露，偶尔/轻微的惊悚或恐怖题材,免费,"百度网盘自动续费超级会员（1个月）
¥25.00


百度网盘超级会员(1个月-自动续费)(首充)
¥18.00


百度网盘会员(3个月)
¥30.00


百度网盘超级会员(1个月)
¥30.00


百度网盘云解压券6元
¥6.00


百度网盘自动续费超级会员（3个月）
¥68.00


百度网盘连续包月备份套餐(1个月)
¥10.00


百度网盘极速下载券1张
¥6.00


百度网盘转存券6元
¥6.00


百度网盘超级会员(1个月)
¥40.00"
927043051,乐外卖商家,927043050,深圳市迅享科技有限公司,3.8,11,"Shenzhen Xunjoy Technology Co., Ltd",75.3 MB,美食佳饮,iPhone设备需装有iOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 英文,4+,© 迅享科技  Inc,免费
1584311085,出奇体育-足球篮球比分赛事直播吧,1037193007,"Guangdong huati Network Technology Co., Ltd",4.3,35,"Guangdong huati Network Technology Co., Ltd",116.1 MB,体育,iPhone设备需装有iOS11.0或更高版本。iPad设备需装有iPadOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 英文,17+，偶尔/轻微的卡通或幻想暴力，偶尔/轻微的亵渎或低俗幽默,免费,"出奇豆8
¥8.00


出奇豆88
¥88.00


出奇豆288
¥298.00


出奇豆188
¥198.00


出奇豆998
¥998.00


出奇豆1998
¥1,998.00


出奇豆68
¥68.00


出奇豆128
¥148.00


出奇豆4998
¥5,998.00


出奇豆3998
¥3,998.00"
6446898721,养羊指南,1677254906,泳诗 杜,3.1,233,泳诗 杜,134.9 MB,参考资料,iPhone设备需装有iOS14.0或更高版本。iPod touch设备需装有iOS14.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,英文,4+,© duyongshi2023,免费
956077224,哈佛商业评论,388836099,Beijing Caijing Magazine Limited,3.6,204,Beijing Caijing Magazine Limited,46.5 MB,报刊杂志,iPhone设备需装有iOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文,4+,免费,"哈佛商业评论
¥138.00


哈佛商业评论一年
¥328.00


哈佛商业评论
¥98.00


包月（视听栏目+往期杂志）
¥38.00


哈评充值88
¥88.00


哈评充值388
¥388.00


2016年1月刊封面文章：高情商组织崛起
¥22.00


管理者晋升手册
¥8.00


2015年第4期（重构绩效管理）
¥22.00


订阅90天（视听栏目+往期杂志）
¥108.00"
1514073822,众车出行司机,1514054066,文 宋,2.8,40,文 宋,141.9 MB,导航,iPhone设备需装有iOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。,简体中文,4+,© 2018 杭州众车出行科技有限公司,免费
715319761,智慧树网,702650874,上海卓越睿新数码科技有限公司,1.5,"1,205",SHANGHAI ABLE DIGITAL & TECH Co. LTD.,84.7 MB,教育,iPhone设备需装有iOS8.0或更高版本。iPod touch设备需装有iOS8.0或更高版本。,简体中文， 英文,4+,免费,"智慧树VIP会员(月卡学生价)
¥22.00


智慧树VIP会员(月卡)
¥38.00


智慧树VIP会员(季卡学生价)
¥38.00


智慧树VIP会员(年卡学生价)
¥148.00


高血压危险因素与控制篇
¥15.00


智慧树VIP会员(半年卡学生价)
¥88.00


智慧树VIP会员(半年卡)
¥198.00


企业面试解析(应届生篇)
¥38.00


毕业前必修的六堂课
¥38.00


花道—插花技艺养成
¥58.00"
1408625574,B&O AR Experience,359002044,Bang & Olufsen a/s,4.2,31,Bang & Olufsen a/s,1.6 GB,购物,iPhone设备需装有iOS15.0或更高版本。iPad设备需装有iPadOS15.0或更高版本。iPod touch设备需装有iOS15.0或更高版本。,英文,4+,© 2018 Bang & Olufsen a/s,免费
1548539337,布咕阅读-同人耽美GB平台,1548539339,北京青阅科技有限公司,4.7,1.2万,"Beijing Qingyue Technology Co.,Ltd",114.8 MB,图书,iPhone设备需装有iOS12.0或更高版本。iPod touch设备需装有iOS12.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,英文,9+，偶尔/轻微的惊悚或恐怖题材,免费,"1350咕咕币
¥15.00


2545咕咕币
¥28.00


5350咕咕币
¥58.00


9260咕咕币
¥98.00


800咕咕币
¥8.00


19155咕咕币
¥198.00


1800咕咕币
¥22.00


600咕咕币
¥8.00


59200咕咕币
¥598.00


6800咕咕币
¥68.00"
